name,category,download_url
bio-CE-GT,bio,http://nrvis.com/./download/data/bio/bio-CE-GT.zip
bio-SC-TS,bio,http://nrvis.com/./download/data/bio/bio-SC-TS.zip
bio-celegans-dir,bio,http://nrvis.com/./download/data/bio/bio-celegans-dir.zip
bio-celegans,bio,http://nrvis.com/./download/data/bio/bio-celegans.zip
bio-diseasome,bio,http://nrvis.com/./download/data/bio/bio-diseasome.zip
ca-netscience,ca,http://nrvis.com/./download/data/ca/ca-netscience.zip
ca-sandi-auths,ca,http://nrvis.com/./download/data/ca/ca-sandi_auths.zip
C125-9,dimacs,http://nrvis.com/./download/data/dimacs/C125-9.zip
MANN-a9,dimacs,http://nrvis.com/./download/data/dimacs/MANN-a9.zip
brock200-2,dimacs,http://nrvis.com/./download/data/dimacs/brock200-2.zip
c-fat200-1,dimacs,http://nrvis.com/./download/data/dimacs/c-fat200-1.zip
c-fat200-2,dimacs,http://nrvis.com/./download/data/dimacs/c-fat200-2.zip
c-fat200-5,dimacs,http://nrvis.com/./download/data/dimacs/c-fat200-5.zip
c-fat500-1,dimacs,http://nrvis.com/./download/data/dimacs/c-fat500-1.zip
c-fat500-2,dimacs,http://nrvis.com/./download/data/dimacs/c-fat500-2.zip
johnson8-2-4,dimacs,http://nrvis.com/./download/data/dimacs/johnson8-2-4.zip
johnson8-4-4,dimacs,http://nrvis.com/./download/data/dimacs/johnson8-4-4.zip
keller4,dimacs,http://nrvis.com/./download/data/dimacs/keller4.zip
bio-celegansneural,dimacs10,http://nrvis.com/./download/data/dimacs10/bio-celegansneural.zip
chesapeake,dimacs10,http://nrvis.com/./download/data/dimacs10/chesapeake.zip
chesapeake,misc,http://nrvis.com/./download/data/dimacs10/chesapeake.zip
aves-sparrow-social,dynamic,http://nrvis.com/./download/data/dynamic/aves-sparrow-social.zip
aves-weaver-social,dynamic,http://nrvis.com/./download/data/dynamic/aves-weaver-social.zip
ia-workplace-contacts,dynamic,http://nrvis.com/./download/data/dynamic/ia-workplace-contacts.zip
ia-workplace-contacts,ia,http://nrvis.com/./download/data/dynamic/ia-workplace-contacts.zip
insecta-ant-trophallaxis-colony1,dynamic,http://nrvis.com/./download/data/dynamic/insecta-ant-trophallaxis-colony1.zip
insecta-ant-trophallaxis-colony2,dynamic,http://nrvis.com/./download/data/dynamic/insecta-ant-trophallaxis-colony2.zip
mammalia-primate-association,dynamic,http://nrvis.com/./download/data/dynamic/mammalia-primate-association.zip
mammalia-raccoon-proximity,dynamic,http://nrvis.com/./download/data/dynamic/mammalia-raccoon-proximity.zip
reptilia-tortoise-network-bsv,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-bsv.zip
reptilia-tortoise-network-cs,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-cs.zip
reptilia-tortoise-network-fi,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-fi.zip
reptilia-tortoise-network-hw,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-hw.zip
reptilia-tortoise-network-lm,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-lm.zip
reptilia-tortoise-network-mc,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-mc.zip
reptilia-tortoise-network-pv,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-pv.zip
reptilia-tortoise-network-sl,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-sl.zip
eco-everglades,eco,http://nrvis.com/./download/data/eco/eco-everglades.zip
eco-everglades,misc,http://nrvis.com/./download/data/eco/eco-everglades.zip
eco-florida,eco,http://nrvis.com/./download/data/eco/eco-florida.zip
eco-florida,misc,http://nrvis.com/./download/data/eco/eco-florida.zip
eco-foodweb-baydry,eco,http://nrvis.com/./download/data/eco/eco-foodweb-baydry.zip
eco-foodweb-baydry,misc,http://nrvis.com/./download/data/eco/eco-foodweb-baydry.zip
