name,category,download_url,n,m,density,k_min,k_avg,k_max,r,t,t_min,t_avg,t_max,C_avg,C,LCC,class
bio-CE-GT,bio,http://nrvis.com/./download/data/bio/bio-CE-GT.zip,924,3239,0.007595690694282244,1,7.010822510822513,151,-0.17933871007059107,11958,0,12.941558441558444,684,0.6051601377320126,0.13176278731515967,0.9502164502164502,2.0
bio-SC-TS,bio,http://nrvis.com/./download/data/bio/bio-SC-TS.zip,636,3959,0.0196058039914822,1,12.449685534591195,66,0.9211118566340591,152715,0,240.1179245283019,2145,0.4712386972731784,0.9136677734900834,0.10534591194968554,0.0
bio-celegans-dir,bio,http://nrvis.com/./download/data/bio/bio-celegans-dir.zip,453,2040,0.01992615601008029,1,9.006622516556291,239,-0.2196623093636561,9852,0,21.748344370860924,870,0.6464630921565053,0.12443636088060325,1.0,0.0
bio-celegans,bio,http://nrvis.com/./download/data/bio/bio-celegans.zip,453,2025,0.019779640157065,1,8.940397350993377,237,-0.2258208879683295,9852,0,21.748344370860924,870,0.646463092156505,0.12443636088060325,1.0,0.0
bio-diseasome,bio,http://nrvis.com/./download/data/bio/bio-diseasome.zip,516,1188,0.008941070219011062,1,4.604651162790699,50,0.06664558386107425,4080,0,7.906976744186046,152,0.6358304997771197,0.4304705634100021,1.0,2.0
ca-netscience,ca,http://nrvis.com/./download/data/ca/ca-netscience.zip,379,913,0.012745878181234382,1,4.8179419525065965,34,-0.08260833889192609,2760,0,7.282321899736146,75,0.7360561786431967,0.43077883564850944,1.0,5.0
ca-sandi-auths,ca,http://nrvis.com/./download/data/ca/ca-sandi_auths.zip,86,123,0.03365253077975376,1,2.86046511627907,12,-0.254544125975046,123,0,1.430232558139535,7,0.3896850565455217,0.2679738562091503,1.0,2.0
C125-9,dimacs,http://nrvis.com/./download/data/dimacs/C125-9.zip,125,6963,0.8984516129032258,102,111.408,119,-0.022129937783061257,691857,4629,5534.856,6304,0.8989694990891884,0.8989101709581608,1.0,5.0
MANN-a9,dimacs,http://nrvis.com/./download/data/dimacs/MANN-a9.zip,45,918,0.9272727272727272,40,40.8,41,0.004878048780710265,33732,720,749.6,757,0.9231519699812378,0.9231527093596059,1.0,4.0
brock200-2,dimacs,http://nrvis.com/./download/data/dimacs/brock200-2.zip,200,9876,0.4962814070351759,78,98.76,114,-0.011973973237063873,479688,1468,2398.44,3163,0.4946673661465146,0.4946195757528263,1.0,4.0
c-fat200-1,dimacs,http://nrvis.com/./download/data/dimacs/c-fat200-1.zip,200,1534,0.0770854271356784,14,15.34,17,0.9707224155968044,16230,66,81.15,100,0.7301163542340023,0.7311469501756915,1.0,0.0
c-fat200-2,dimacs,http://nrvis.com/./download/data/dimacs/c-fat200-2.zip,200,3235,0.16256281407035175,32,32.35,34,0.8383708704790136,76758,375,383.79,429,0.7564219639468669,0.7565047701647876,1.0,0.0
c-fat200-5,dimacs,http://nrvis.com/./download/data/dimacs/c-fat200-5.zip,200,8473,0.4257788944723617,83,84.73,86,0.7271633010425129,546252,2619,2731.26,2814,0.7698366683510243,0.7698569515890353,1.0,0.0
c-fat500-1,dimacs,http://nrvis.com/./download/data/dimacs/c-fat500-1.zip,500,4459,0.035743486973947886,17,17.836,20,0.9843405864717801,55704,100,111.408,141,0.7373098039215747,0.7378208694270046,1.0,1.0
c-fat500-2,dimacs,http://nrvis.com/./download/data/dimacs/c-fat500-2.zip,500,9139,0.07325851703406812,35,36.556,38,0.9748149051465842,247008,451,494.016,534,0.7588764438919211,0.7589550725439227,1.0,0.0
johnson8-2-4,dimacs,http://nrvis.com/./download/data/dimacs/johnson8-2-4.zip,28,210,0.5555555555555556,15,15.0,15,,1260,45,45.0,45,0.4285714285714287,0.42857142857142855,1.0,4.0
johnson8-4-4,dimacs,http://nrvis.com/./download/data/dimacs/johnson8-4-4.zip,70,1855,0.7681159420289855,53,53.0,53,,71820,1026,1026.0,1026,0.7445573294629906,0.7445573294629898,1.0,4.0
keller4,dimacs,http://nrvis.com/./download/data/dimacs/keller4.zip,171,9435,0.6491228070175439,102,110.35087719298244,124,-0.07098316703716802,649791,3285,3799.947368421053,4770,0.6274366362148921,0.6269796011706097,1.0,4.0
bio-celegansneural,dimacs10,http://nrvis.com/./download/data/dimacs10/bio-celegansneural.zip,297,2148,0.048867048867048866,1,14.464646464646465,134,-0.16319921031570409,9723,0,32.73737373737374,397,0.2923632978321901,0.18071147126607687,1.0,0.0
chesapeake,dimacs10,http://nrvis.com/./download/data/dimacs10/chesapeake.zip,39,170,0.2294197031039137,3,8.717948717948719,33,-0.3757827510643474,582,1,14.923076923076925,71,0.4502370997904624,0.2841796875,1.0,3.0
chesapeake,misc,http://nrvis.com/./download/data/dimacs10/chesapeake.zip,39,170,0.2294197031039137,3,8.717948717948719,33,-0.3757827510643474,582,1,14.923076923076925,71,0.4502370997904624,0.2841796875,1.0,3.0
aves-sparrow-social,dynamic,http://nrvis.com/./download/data/dynamic/aves-sparrow-social.zip,52,454,0.34238310708898945,3,17.46153846153846,35,-0.05617465997558864,5571,3,107.1346153846154,282,0.7186959385181153,0.5960838861545046,1.0,5.0
aves-weaver-social,dynamic,http://nrvis.com/./download/data/dynamic/aves-weaver-social.zip,445,1335,0.013513513513513514,1,6.0,27,0.20000295169108667,6135,0,13.786516853932586,95,0.6685047954844799,0.5880943251533742,0.26292134831460673,0.0
ia-workplace-contacts,dynamic,http://nrvis.com/./download/data/dynamic/ia-workplace-contacts.zip,92,755,0.18036311514572384,4,16.41304347826087,44,-0.058593493071369726,5256,1,57.1304347826087,242,0.4260317537699301,0.3682477404890353,1.0,0.0
ia-workplace-contacts,ia,http://nrvis.com/./download/data/dynamic/ia-workplace-contacts.zip,92,755,0.18036311514572384,4,16.41304347826087,44,-0.058593493071369726,5256,1,57.1304347826087,242,0.4260317537699301,0.3682477404890353,1.0,5.0
