name,category,download_url,n,m,density,k_min,k_avg,k_max,r,t,t_min,t_avg,t_max,C_avg,C,LCC,class,resource_allocation,jaccard_coefficient,preferential_attachment,community,sorensen_neighbours
bio-CE-GT,bio,http://nrvis.com/./download/data/bio/bio-CE-GT.zip,924,3239,0.007595690694282244,1,7.010822510822513,151,-0.17933871007059107,11958,0,12.941558441558444,684,0.6051601377320126,0.13176278731515967,0.9502164502164502,0.0,0.9438098178450139,0.9052176597715345,0.8206236492744675,0.7730781105279407,0.9064526088298859
bio-SC-TS,bio,http://nrvis.com/./download/data/bio/bio-SC-TS.zip,636,3959,0.0196058039914822,1,12.449685534591195,66,0.9211118566340591,152715,0,240.1179245283019,2145,0.4712386972731784,0.9136677734900834,0.10534591194968554,3.0,0.950239959585754,0.9547865622631979,0.854003536246527,0.9563020964890124,0.951502904773933
bio-celegans-dir,bio,http://nrvis.com/./download/data/bio/bio-celegans-dir.zip,453,2040,0.01992615601008029,1,9.006622516556291,239,-0.2196623093636561,9852,0,21.748344370860924,870,0.6464630921565053,0.12443636088060325,1.0,0.0,0.9506172839506173,0.7837037037037037,0.8064197530864198,0.6483950617283951,0.7679012345679013
bio-celegans,bio,http://nrvis.com/./download/data/bio/bio-celegans.zip,453,2025,0.019779640157065,1,8.940397350993377,237,-0.2258208879683295,9852,0,21.748344370860924,870,0.646463092156505,0.12443636088060325,1.0,0.0,0.9338271604938271,0.7634567901234569,0.8138271604938272,0.6454320987654321,0.7708641975308641
bio-diseasome,bio,http://nrvis.com/./download/data/bio/bio-diseasome.zip,516,1188,0.008941070219011062,1,4.604651162790699,50,0.06664558386107425,4080,0,7.906976744186046,152,0.6358304997771197,0.4304705634100021,1.0,0.0,0.9326599326599327,0.9141414141414143,0.6860269360269362,0.8535353535353535,0.92003367003367
ca-netscience,ca,http://nrvis.com/./download/data/ca/ca-netscience.zip,379,913,0.012745878181234382,1,4.8179419525065965,34,-0.08260833889192609,2760,0,7.282321899736146,75,0.7360561786431967,0.43077883564850944,1.0,4.0,0.9222343921139102,0.9222343921139102,0.6089813800657173,0.8838992332968236,0.9353778751369113
ca-sandi-auths,ca,http://nrvis.com/./download/data/ca/ca-sandi_auths.zip,86,123,0.03365253077975376,1,2.86046511627907,12,-0.254544125975046,123,0,1.430232558139535,7,0.3896850565455217,0.2679738562091503,1.0,0.0,0.8130081300813008,0.7560975609756098,0.6991869918699187,0.6747967479674797,0.7723577235772359
C125-9,dimacs,http://nrvis.com/./download/data/dimacs/C125-9.zip,125,6963,0.8984516129032258,102,111.408,119,-0.022129937783061257,691857,4629,5534.856,6304,0.8989694990891884,0.8989101709581608,1.0,1.0,0.5316673847479535,0.5355450236966826,0.5275025132845038,0.49547608789314956,0.5276461295418641
MANN-a9,dimacs,http://nrvis.com/./download/data/dimacs/MANN-a9.zip,45,918,0.9272727272727272,40,40.8,41,0.004878048780710265,33732,720,749.6,757,0.9231519699812378,0.9231527093596059,1.0,3.0,0.22657952069716777,0.19607843137254904,0.25381263616557737,0.38888888888888884,0.20806100217864923
brock200-2,dimacs,http://nrvis.com/./download/data/dimacs/brock200-2.zip,200,9876,0.4962814070351759,78,98.76,114,-0.011973973237063873,479688,1468,2398.44,3163,0.4946673661465146,0.4946195757528263,1.0,2.0,0.4916970433373835,0.48703928716079387,0.5024301336573511,0.4988861887403807,0.48957067638720125
